City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
atikokan,48.76,-91.62,273.83,88,0,2.99,CA,1604081777
rancho palos verdes,33.74,-118.39,296.48,60,5,0.59,US,1604081778
havre-saint-pierre,50.23,-63.6,275.15,40,90,6.2,CA,1604081659
vyartsilya,62.18,30.69,278.67,90,58,1.91,RU,1604081778
coahuayana,18.73,-103.68,299.15,78,75,1.58,MX,1604081779
apatou,5.16,-54.35,310.96,31,13,2.5,GF,1604081779
culfa,38.96,45.63,290.15,39,20,2.1,AZ,1604081779
alghero,40.56,8.32,288.15,93,20,1.5,IT,1604081521
kouqian,43.64,126.46,275.5,75,92,2.9,CN,1604081780
kirakira,-10.45,161.92,298.36,73,100,0.79,SB,1604081780
thohoyandou,-22.95,30.48,298.46,27,0,2.83,ZA,1604081780
lazaro cardenas,17.96,-102.2,304.52,57,57,0.63,MX,1604081781
teguise,29.06,-13.56,300.15,24,0,5.1,ES,1604081781
boda,4.32,17.47,295.62,94,74,0.96,CF,1604081575
nshamba,-1.8,31.55,295.15,78,75,1.64,TZ,1604081782
heidenheim,48.68,10.15,283.15,84,86,3.15,DE,1604081782
chara,56.91,118.26,261.34,80,42,0.4,RU,1604081782
kiunga,-6.12,141.29,295.4,98,92,0.27,PG,1604081666
college,64.86,-147.8,262.04,85,90,1.5,US,1604081666
keti bandar,24.14,67.45,299.75,60,0,3.11,PK,1604081784
inongo,-1.95,18.27,296.66,85,28,1.21,CD,1604081784
quatre cocos,-20.21,57.76,294.15,52,40,6.2,MU,1604081753
san quintin,30.48,-115.95,296.49,35,82,2.12,MX,1604081785
acolla,-11.73,-75.55,290.07,41,100,3.45,PE,1604081786
conceicao da barra,-18.59,-39.73,300.61,67,47,6.78,BR,1604081786
wanning,18.8,110.4,297.77,88,77,6.64,CN,1604081526
constantine,36.37,6.61,288.15,58,0,1.0,DZ,1604081788
santa lucia,27.91,-15.54,298.15,73,0,5.1,ES,1604081788
shieli,44.17,66.75,281.47,49,0,4.36,KZ,1604081789
katangli,51.71,143.23,273.04,95,18,2.41,RU,1604081789
vanimo,-2.67,141.3,298.24,81,99,2.07,PG,1604081669
lukulu,-14.37,23.24,300.95,32,64,1.96,ZM,1604081790
mujiayingzi,42.12,118.78,280.7,56,100,4.6,CN,1604081790
marawi,8.0,124.29,296.48,96,94,2.24,PH,1604081790
broome,42.25,-75.83,277.59,80,90,5.7,US,1604081790
nauta,-4.51,-73.58,301.09,91,97,1.58,PE,1604081790
ancud,-41.87,-73.82,290.37,59,0,3.6,CL,1604081791
fairview,40.81,-74.0,279.15,86,75,2.6,US,1604081592
stavropol,45.04,41.97,289.15,63,0,3.0,RU,1604081547
yelatma,54.97,41.75,278.28,89,100,1.8,RU,1604081791
basco,20.45,121.97,298.56,79,83,15.42,PH,1604081792
vallenar,-28.57,-70.76,301.62,21,0,4.61,CL,1604081792
werda,-25.27,23.28,303.93,19,96,0.56,BW,1604081792
